id,title,score,author,comments,url,timestamp
49604637,I've factored the RSA keys of a Certificate Authority from the 90s,188,ahlCVA,35,https://mcpherrin.ca/2026/09/07/rsa.html,2026-09-08 04:52:18
49605511,Arm Mali G2-Ultra NX GPU: desktop-class mobile gameplay with AI-native graphics,10,Re-Tails,2,https://newsroom.arm.com/blog/arm-mali-g2-ultra-nx-ai-native-mobile-graphics,2026-09-08 04:52:18
49604150,TALA Is Open-Source,139,alixanderwang,10,https://d2lang.com/blog/tala-is-open-source/,2026-09-08 04:52:18
49605246,How well do agents use test/verification techniques?,23,vinhnx,2,https://danluu.com/agentic-testing/,2026-09-08 04:52:18
49604861,Jellyfin 12.0,188,0xC0ncord,77,https://jellyfin.org/posts/jellyfin-release-12.0/,2026-09-08 04:52:19
49601655,"Watch Los Angeles get built, one building at a time (1880–2026)",255,rustywasm,131,https://lax-skyline.parcelscope.net/,2026-09-08 04:52:19
49602699,Leaving VMware just got harder after Broadcom pulled VDDK downloads,148,josephcsible,60,https://www.virtualizationhowto.com/2026/09/leaving-vmware-just-got-harder-after-broadcom-pulled-vddk-downloads/,2026-09-08 04:52:19
49560682,John Margolies' photographs of roadside America,56,duck,14,https://publicdomainreview.org/collection/john-margolies-photographs-of-roadside-america/,2026-09-08 04:52:19
49552299,WeatherNext 3,282,matthieu_bl,65,https://deepmind.google/science/weathernext/,2026-09-08 04:52:20
49569838,Scientists observe Einstein's gravity in the quantum world,182,mudil,44,https://www.ox.ac.uk/news/2026-08-28-scientists-observe-einsteins-gravity-in-the-quantum-world,2026-09-08 04:52:20
49575515,Trusting-Trust Attack against an Entire Linux Distribution,183,signa11,40,https://arxiv.org/abs/2607.24888,2026-09-08 04:52:20
49592375,216M Spy TVs – The LG Smart TV Problem [video],639,treve,844,https://www.youtube.com/watch?v=6IFVTcM28KA,2026-09-08 04:52:21
49549327,Extinct Tasmanian tiger's 'snap' unlike any living mammal's bite,5,cisc,0,https://www.cnn.com/2026/09/02/science/tasmanian-tiger-skull-bite-force,2026-09-08 04:52:21
49564064,Colorlight 5A-75B: A dive into a popular low-cost ECP5 (FPGA) development board,20,gregsadetsky,6,https://blog.yosyshq.com/p/colorlight-part-1/,2026-09-08 04:52:21
49568162,Show HN: Jigsaw Haiku,76,windowshopping,27,https://jigsawhaiku.com/,2026-09-08 04:52:21
49570189,Some more thoughts on random_page_cost,14,blueshoess,0,https://vondra.me/posts/some-more-thoughts-on-random-page-cost/,2026-09-08 04:52:22
49605433,I tested 10 model/harness combinations on the same Three.js task,6,alvins82,0,https://alvins82.github.io/hangar-harness-model-tests/,2026-09-08 04:52:22
49603546,Show HN: Stuxnet – A reconstructed source code of the infamous cyber-weapon,135,CMDDestory,45,https://github.com/Sadpainy/Stuxnet,2026-09-08 04:52:22
49602490,Emacs Bedrock 2.0,70,ashton314,6,https://lambdaland.org/posts/2026-09-06-bedrock-v2/,2026-09-08 04:52:22
49596055,Caltech Mathathon – first hackathon ever devoted to research level mathematics,247,astroanax,85,https://mathathonchallenge.com/index.html,2026-09-08 04:52:23
49559069,Show HN: Interactive Tree of Life,81,Lucent,22,https://ptree.org/,2026-09-08 04:52:23
49580260,"Everything is free now, so why not a floating orb in my IDE",11,eighttrigrams,4,https://eighttrigrams.net/post/79,2026-09-08 04:52:23
49605122,Show HN: NYC MapTap – Learn NYC neighborhoods,7,abj908,4,https://albertjoseph0.github.io/nyc-maptap/,2026-09-08 04:52:23
49571096,This Month in Ladybird – August 2026,203,exploraz,48,https://ladybird.org/newsletter/2026-08-31/,2026-09-08 04:52:24
49586207,Icy Moons Are Ocean Worlds,145,worldvoyageur,15,https://mceglowski.substack.com/p/icy-moons-are-ocean-worlds,2026-09-08 04:52:24
49569748,Finding a bug in Dummit and Foote's Abstract Algebra,74,evakhoury,34,https://kallus.org/blog/dummit_and_foote.html,2026-09-08 04:52:25
49593563,Keep Our Servers Running,976,sonicrocketman,253,https://blog.archive.org/2026/09/01/keep-our-servers-running-your-recurring-donation-goes-3x-this-september/,2026-09-08 04:52:25
49561002,Decoding the NEC V20 Microcode,131,mariuz,9,https://martypc.blogspot.com/2026/09/decoding-nec-v20-microcode.html,2026-09-08 04:52:25
49558685,Simple Is Not Small,225,zdw,67,https://jyn.dev/simple-is-not-the-same-as-small/,2026-09-08 04:52:25
49584053,Catching Crumbs from the Table (2000),16,stefanpie,5,https://www.nature.com/articles/35014679,2026-09-08 04:52:25
